Place,Distance,Type,Median earnings,Median household income,Avg Hours Worked,In labor force,Civilian labor force,Employed,Unemployed,Armed Forces,Not in labor force,Avg Hrly Earnings,Wages,Self Employment,Investments and Retirement,Social Security,Public Assistance and SSI,Self Employed,Total Working Age,Unemployment Rate,Labor Force Participation,Total Employed,Total Unemployed,Total Not in Labor Force,With Retirement Income,Total In Poverty,Percent of Population In Poverty,In Poverty-Employed,In Poverty-Unemployed,In Poverty-Not in Labor Force,Public Assistance Percent,Gini Index,Full Time Employment,Part Time Employment,Men Working Part Time,Women Working Part Time,Single Earner Families,Families with No One Working,"Car, truck or van",Drove alone,Carpooled,In 2-person carpool,In 3-person carpool,In 4-or-more-person carpool,Public transportation,Bus,Streetcar or trolley,Subway or elevated,Railroad,Ferryboat,Bicycle,Walked,"Taxicab, motorcycle or other",Worked at home,Bicycle or walk,Drive,Avg Commute Time,Work in city or place where live,Self Employment Income,Total Self-employed Men,Total Self-employed Women,Zip Code
1013,0.0,Zipcode,41798.0,40876.0,37.0,11481.0,11475.0,10378.0,1097.0,6.0,6977.0,21.725,0.757,0.02,0.096,0.102,0.024,0.054,18458.0,0.059,0.622,0.562,0.059,0.378,0.148,4233.0,0.19,0.137,0.044,0.19,0.286,0.416,0.721,0.279,0.232,0.323,0.278,0.226,0.917,0.844,0.073,0.067,0.001,0.004,0.019,0.019,0.0,0.0,0.0,0.0,0.003,0.023,0.004,0.033,0.026,0.921,18.73,0.284,19428.486,330.0,162.0,"<a href=""1013-Zipcode-MA-Economy-data.html"">1013</a>"
1020,0.0,Zipcode,49714.0,57851.0,37.8,16763.0,16655.0,15409.0,1246.0,108.0,8892.0,25.292,0.762,0.051,0.091,0.084,0.011,0.057,25655.0,0.049,0.653,0.601,0.049,0.347,0.216,3166.0,0.104,0.154,0.074,0.143,0.167,0.423,0.749,0.251,0.157,0.351,0.268,0.205,0.951,0.898,0.054,0.046,0.005,0.003,0.008,0.008,0.0,0.0,0.0,0.0,0.001,0.021,0.007,0.012,0.022,0.958,19.83,0.297,63788.575,301.0,277.0,"<a href=""1020-Zipcode-MA-Economy-data.html"">1020</a>"
1022,0.0,Zipcode,46559.0,44701.0,36.0,1251.0,1235.0,1106.0,129.0,16.0,1124.0,24.871,0.776,0.025,0.083,0.116,0.001,0.073,2375.0,0.054,0.527,0.466,0.054,0.473,0.191,644.0,0.255,0.048,0.0,0.216,0.078,0.348,0.723,0.277,0.249,0.303,0.263,0.193,0.986,0.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.014,0.986,18.244,0.245,18264.773,16.0,35.0,"<a href=""1022-Zipcode-MA-Economy-data.html"">1022</a>"
1026,0.0,Zipcode,41875.0,50924.0,36.3,529.0,529.0,507.0,22.0,0.0,327.0,22.184,0.583,0.113,0.199,0.1,0.006,0.235,856.0,0.026,0.618,0.592,0.026,0.382,0.286,45.0,0.044,0.311,0.089,0.222,0.095,0.374,0.638,0.362,0.214,0.54,0.25,0.127,0.786,0.729,0.057,0.057,0.0,0.0,0.029,0.029,0.0,0.0,0.0,0.0,0.0,0.047,0.012,0.126,0.047,0.798,35.886,0.0,29648.598,69.0,48.0,"<a href=""1026-Zipcode-MA-Economy-data.html"">1026</a>"
1027,0.0,Zipcode,50483.0,61217.0,38.2,10628.0,10628.0,9859.0,769.0,0.0,4702.0,25.414,0.781,0.042,0.096,0.073,0.008,0.102,15330.0,0.05,0.693,0.643,0.05,0.307,0.175,1774.0,0.1,0.182,0.191,0.089,0.112,0.426,0.752,0.248,0.149,0.332,0.198,0.181,0.87,0.809,0.061,0.047,0.014,0.0,0.022,0.019,0.0,0.003,0.0,0.0,0.008,0.027,0.009,0.064,0.035,0.879,24.436,0.25,30919.451,554.0,423.0,"<a href=""1027-Zipcode-MA-Economy-data.html"">1027</a>"
1028,0.0,Zipcode,64012.0,83003.0,38.0,8503.0,8492.0,8018.0,474.0,11.0,4518.0,32.395,0.734,0.064,0.13,0.067,0.005,0.111,13021.0,0.036,0.653,0.616,0.036,0.347,0.27,677.0,0.043,0.201,0.04,0.127,0.092,0.421,0.725,0.275,0.163,0.381,0.189,0.15,0.921,0.864,0.057,0.046,0.005,0.006,0.015,0.006,0.007,0.001,0.002,0.0,0.003,0.015,0.006,0.039,0.018,0.927,23.778,0.0,58478.698,508.0,266.0,"<a href=""1028-Zipcode-MA-Economy-data.html"">1028</a>"
1029,0.0,Zipcode,45511.0,54375.0,40.8,452.0,452.0,409.0,43.0,0.0,214.0,21.451,0.672,0.151,0.103,0.074,0.0,0.286,666.0,0.065,0.679,0.614,0.065,0.321,0.188,96.0,0.126,0.271,0.167,0.115,0.08,0.438,0.774,0.226,0.189,0.268,0.444,0.112,0.923,0.861,0.062,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.923,39.42,0.0,39169.892,78.0,3.0,"<a href=""1029-Zipcode-MA-Economy-data.html"">1029</a>"
1030,0.0,Zipcode,53979.0,64874.0,37.3,6123.0,6123.0,5890.0,233.0,0.0,3138.0,27.83,0.78,0.036,0.105,0.068,0.01,0.114,9261.0,0.025,0.661,0.636,0.025,0.339,0.181,1124.0,0.101,0.168,0.046,0.173,0.127,0.412,0.728,0.272,0.241,0.306,0.296,0.145,0.941,0.874,0.067,0.048,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.006,0.008,0.036,0.014,0.95,21.764,0.241,25963.96,407.0,136.0,"<a href=""1030-Zipcode-MA-Economy-data.html"">1030</a>"
1031,0.0,Zipcode,38438.0,39327.0,40.4,643.0,643.0,545.0,98.0,0.0,385.0,18.297,0.712,0.038,0.147,0.087,0.017,0.129,1028.0,0.095,0.625,0.53,0.095,0.375,0.235,268.0,0.225,0.149,0.265,0.183,0.206,0.509,0.844,0.156,0.056,0.307,0.267,0.2,0.934,0.894,0.04,0.033,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.04,0.026,0.934,31.348,0.0,16947.826,41.0,13.0,"<a href=""1031-Zipcode-MA-Economy-data.html"">1031</a>"
1032,0.0,Zipcode,52206.0,73750.0,37.9,394.0,394.0,373.0,21.0,0.0,110.0,26.49,0.786,0.074,0.092,0.048,0.0,0.165,504.0,0.042,0.782,0.74,0.042,0.218,0.165,15.0,0.025,0.533,0.2,0.0,0.026,0.34,0.684,0.316,0.144,0.442,0.165,0.055,0.867,0.821,0.046,0.019,0.0,0.027,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.1,0.0,0.892,29.488,0.0,35297.778,18.0,25.0,"<a href=""1032-Zipcode-MA-Economy-data.html"">1032</a>"
1033,0.0,Zipcode,54094.0,86951.0,38.7,3759.0,3742.0,3602.0,140.0,17.0,1545.0,26.88,0.727,0.054,0.159,0.056,0.005,0.148,5304.0,0.026,0.709,0.679,0.026,0.291,0.216,290.0,0.046,0.176,0.086,0.159,0.063,0.406,0.782,0.218,0.097,0.327,0.224,0.087,0.919,0.887,0.032,0.032,0.0,0.0,0.027,0.027,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.043,0.011,0.919,25.21,0.06,35436.339,179.0,128.0,"<a href=""1033-Zipcode-MA-Economy-data.html"">1033</a>"
1034,0.0,Zipcode,52569.0,82159.0,37.5,1346.0,1342.0,1260.0,82.0,4.0,647.0,26.958,0.788,0.052,0.091,0.064,0.005,0.128,1993.0,0.041,0.675,0.632,0.041,0.325,0.215,230.0,0.1,0.27,0.07,0.204,0.07,0.344,0.776,0.224,0.158,0.304,0.224,0.131,0.911,0.88,0.031,0.029,0.002,0.0,0.002,0.002,0.0,0.0,0.0,0.001,0.0,0.01,0.004,0.072,0.01,0.915,34.541,0.0,35426.364,102.0,19.0,"<a href=""1034-Zipcode-MA-Economy-data.html"">1034</a>"
1035,0.0,Zipcode,50720.0,62634.0,37.4,2874.0,2874.0,2845.0,29.0,0.0,1759.0,26.08,0.687,0.046,0.199,0.068,0.0,0.168,4633.0,0.006,0.62,0.614,0.006,0.38,0.279,384.0,0.074,0.156,0.026,0.276,0.11,0.471,0.705,0.295,0.233,0.338,0.202,0.201,0.888,0.798,0.09,0.083,0.0,0.007,0.018,0.013,0.0,0.005,0.0,0.0,0.014,0.021,0.003,0.056,0.035,0.891,19.13,0.0,24796.354,168.0,231.0,"<a href=""1035-Zipcode-MA-Economy-data.html"">1035</a>"
1036,0.0,Zipcode,57972.0,80375.0,38.2,2946.0,2946.0,2748.0,198.0,0.0,1452.0,29.184,0.807,0.031,0.083,0.076,0.003,0.136,4398.0,0.045,0.67,0.625,0.045,0.33,0.218,256.0,0.05,0.145,0.09,0.207,0.041,0.418,0.745,0.255,0.167,0.335,0.261,0.202,0.93,0.851,0.079,0.07,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.014,0.004,0.046,0.02,0.933,28.399,0.0,23763.707,167.0,94.0,"<a href=""1036-Zipcode-MA-Economy-data.html"">1036</a>"
1037,0.0,Zipcode,56656.0,80417.0,36.4,341.0,341.0,311.0,30.0,0.0,333.0,29.932,0.595,0.084,0.206,0.115,0.0,0.25,674.0,0.045,0.506,0.461,0.045,0.494,0.381,86.0,0.139,0.233,0.279,0.337,0.02,0.399,0.632,0.368,0.25,0.547,0.316,0.199,0.853,0.836,0.017,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.104,0.043,0.853,25.392,0.0,33007.937,70.0,14.0,"<a href=""1037-Zipcode-MA-Economy-data.html"">1037</a>"
1038,0.0,Zipcode,52847.0,65887.0,39.5,1721.0,1721.0,1682.0,39.0,0.0,783.0,25.729,0.708,0.08,0.129,0.081,0.002,0.214,2504.0,0.016,0.687,0.672,0.016,0.313,0.229,157.0,0.055,0.268,0.057,0.255,0.046,0.37,0.762,0.238,0.106,0.373,0.197,0.172,0.846,0.774,0.072,0.066,0.002,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.023,0.0,0.102,0.052,0.846,20.04,0.213,29234.191,214.0,115.0,"<a href=""1038-Zipcode-MA-Economy-data.html"">1038</a>"
1039,0.0,Zipcode,48229.0,74107.0,37.3,750.0,750.0,689.0,61.0,0.0,309.0,24.865,0.654,0.082,0.202,0.06,0.002,0.236,1059.0,0.058,0.708,0.651,0.058,0.292,0.247,78.0,0.065,0.244,0.218,0.064,0.09,0.472,0.717,0.283,0.232,0.326,0.242,0.164,0.826,0.754,0.073,0.051,0.005,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.05,0.0,0.106,0.068,0.826,24.89,0.0,32770.543,95.0,62.0,"<a href=""1039-Zipcode-MA-Economy-data.html"">1039</a>"
1040,0.0,Zipcode,42556.0,38829.0,36.4,18491.0,18470.0,16494.0,1976.0,21.0,13255.0,22.483,0.754,0.038,0.091,0.08,0.037,0.058,31746.0,0.062,0.582,0.52,0.062,0.418,0.125,11227.0,0.286,0.124,0.052,0.196,0.34,0.488,0.732,0.268,0.216,0.321,0.275,0.196,0.885,0.805,0.079,0.062,0.015,0.003,0.018,0.018,0.0,0.0,0.0,0.0,0.001,0.049,0.009,0.038,0.05,0.893,19.738,0.356,35579.11,645.0,259.0,"<a href=""1040-Zipcode-MA-Economy-data.html"">1040</a>"
1050,0.0,Zipcode,47393.0,72386.0,38.4,1296.0,1293.0,1252.0,41.0,3.0,616.0,23.734,0.721,0.067,0.123,0.077,0.012,0.114,1912.0,0.021,0.678,0.655,0.021,0.322,0.232,221.0,0.095,0.131,0.014,0.199,0.102,0.36,0.779,0.221,0.196,0.25,0.228,0.172,0.939,0.879,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.014,0.042,0.006,0.953,32.927,0.171,44772.381,95.0,73.0,"<a href=""1050-Zipcode-MA-Economy-data.html"">1050</a>"
1053,0.0,Zipcode,70250.0,66528.0,38.4,681.0,681.0,639.0,42.0,0.0,745.0,35.181,0.689,0.091,0.136,0.084,0.0,0.21,1426.0,0.029,0.478,0.448,0.029,0.522,0.176,251.0,0.173,0.143,0.032,0.331,0.077,0.449,0.816,0.184,0.109,0.282,0.231,0.181,0.844,0.786,0.058,0.042,0.016,0.0,0.059,0.038,0.0,0.022,0.0,0.0,0.014,0.0,0.013,0.07,0.014,0.856,20.488,0.527,34854.701,76.0,55.0,"<a href=""1053-Zipcode-MA-Economy-data.html"">1053</a>"
1054,0.0,Zipcode,57279.0,86771.0,36.2,1152.0,1152.0,1110.0,42.0,0.0,483.0,30.429,0.636,0.1,0.213,0.05,0.002,0.328,1635.0,0.026,0.705,0.679,0.026,0.295,0.23,84.0,0.043,0.286,0.0,0.167,0.068,0.419,0.673,0.327,0.206,0.446,0.327,0.097,0.822,0.75,0.071,0.052,0.016,0.003,0.005,0.001,0.0,0.002,0.003,0.0,0.012,0.015,0.013,0.134,0.027,0.834,26.03,0.0,33921.509,124.0,109.0,"<a href=""1054-Zipcode-MA-Economy-data.html"">1054</a>"
1056,0.0,Zipcode,53052.0,64537.0,39.1,11132.0,11125.0,10416.0,709.0,7.0,6594.0,26.093,0.756,0.044,0.114,0.076,0.01,0.104,17726.0,0.04,0.628,0.588,0.04,0.372,0.231,1124.0,0.054,0.098,0.028,0.219,0.108,0.416,0.795,0.205,0.138,0.281,0.21,0.183,0.949,0.876,0.073,0.057,0.012,0.004,0.004,0.004,0.0,0.0,0.0,0.0,0.005,0.008,0.009,0.025,0.013,0.958,24.081,0.0,34829.087,637.0,350.0,"<a href=""1056-Zipcode-MA-Economy-data.html"">1056</a>"
1057,0.0,Zipcode,51645.0,74439.0,38.0,5223.0,5223.0,4835.0,388.0,0.0,2034.0,26.136,0.78,0.046,0.101,0.068,0.005,0.132,7257.0,0.053,0.72,0.666,0.053,0.28,0.204,496.0,0.057,0.21,0.109,0.159,0.109,0.368,0.754,0.246,0.13,0.359,0.208,0.156,0.968,0.891,0.078,0.067,0.008,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.026,0.006,0.968,30.311,0.093,28796.739,281.0,148.0,"<a href=""1057-Zipcode-MA-Economy-data.html"">1057</a>"
1060,0.0,Zipcode,54102.0,56128.0,33.6,9295.0,9295.0,8730.0,565.0,0.0,4367.0,30.965,0.701,0.091,0.145,0.051,0.011,0.21,13662.0,0.041,0.68,0.639,0.041,0.32,0.131,2258.0,0.172,0.36,0.096,0.194,0.172,0.523,0.588,0.412,0.282,0.504,0.203,0.112,0.636,0.588,0.048,0.044,0.002,0.002,0.026,0.025,0.0,0.001,0.0,0.0,0.041,0.185,0.001,0.111,0.227,0.637,20.105,0.491,35521.778,674.0,491.0,"<a href=""1060-Zipcode-MA-Economy-data.html"">1060</a>"
1062,0.0,Zipcode,60639.0,73913.0,36.7,5930.0,5930.0,5486.0,444.0,0.0,2862.0,31.775,0.801,0.056,0.085,0.052,0.006,0.165,8792.0,0.051,0.674,0.624,0.051,0.326,0.173,1445.0,0.137,0.067,0.1,0.146,0.107,0.468,0.71,0.29,0.249,0.335,0.187,0.118,0.85,0.766,0.084,0.068,0.015,0.001,0.014,0.012,0.0,0.0,0.002,0.0,0.034,0.021,0.001,0.08,0.055,0.851,23.383,0.477,32079.64,587.0,347.0,"<a href=""1062-Zipcode-MA-Economy-data.html"">1062</a>"
1066,0.0,Zipcode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"<a href=""1066-Zipcode-MA-Economy-data.html"">1066</a>",91C336]
1068,0.0,Zipcode,55370.0,85052.0,37.9,1023.0,1023.0,970.0,53.0,0.0,462.0,28.095,0.763,0.046,0.135,0.051,0.006,0.155,1485.0,0.036,0.689,0.653,0.036,0.311,0.196,62.0,0.034,0.129,0.0,0.452,0.071,0.332,0.724,0.276,0.176,0.372,0.274,0.106,0.925,0.809,0.115,0.094,0.012,0.009,0.005,0.0,0.003,0.0,0.002,0.0,0.0,0.021,0.012,0.038,0.021,0.936,35.229,0.0,27841.0,79.0,38.0,"<a href=""1068-Zipcode-MA-Economy-data.html"">1068</a>"
1069,0.0,Zipcode,46530.0,57994.0,38.1,4978.0,4978.0,4558.0,420.0,0.0,2277.0,23.486,0.748,0.057,0.107,0.079,0.008,0.15,7255.0,0.058,0.686,0.628,0.058,0.314,0.247,591.0,0.07,0.213,0.118,0.171,0.15,0.414,0.775,0.225,0.177,0.277,0.251,0.069,0.867,0.793,0.074,0.067,0.002,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.024,0.056,0.053,0.891,28.724,0.251,28167.241,312.0,105.0,"<a href=""1069-Zipcode-MA-Economy-data.html"">1069</a>"
1070,0.0,Zipcode,48438.0,55208.0,34.8,351.0,348.0,332.0,16.0,3.0,138.0,26.767,0.687,0.105,0.101,0.102,0.005,0.309,489.0,0.033,0.718,0.679,0.033,0.282,0.208,60.0,0.107,0.333,0.0,0.017,0.116,0.397,0.588,0.412,0.347,0.493,0.305,0.109,0.801,0.745,0.056,0.044,0.006,0.006,0.009,0.006,0.0,0.0,0.003,0.0,0.0,0.022,0.006,0.162,0.022,0.807,34.294,0.0,22695.0,56.0,26.0,"<a href=""1070-Zipcode-MA-Economy-data.html"">1070</a>"
1071,0.0,Zipcode,52460.0,70938.0,38.5,754.0,754.0,719.0,35.0,0.0,299.0,26.204,0.741,0.076,0.095,0.078,0.01,0.192,1053.0,0.033,0.716,0.683,0.033,0.284,0.235,17.0,0.013,0.824,0.0,0.118,0.02,0.35,0.801,0.199,0.126,0.262,0.201,0.203,0.927,0.85,0.076,0.063,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.927,30.475,0.086,33940.816,52.0,57.0,"<a href=""1071-Zipcode-MA-Economy-data.html"">1071</a>"
1072,0.0,Zipcode,55250.0,75658.0,35.6,909.0,906.0,834.0,72.0,3.0,390.0,29.846,0.732,0.058,0.162,0.045,0.003,0.265,1299.0,0.055,0.7,0.642,0.055,0.3,0.274,187.0,0.122,0.305,0.096,0.053,0.112,0.399,0.681,0.319,0.274,0.36,0.219,0.096,0.91,0.842,0.068,0.042,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.008,0.005,0.069,0.016,0.915,29.876,0.0,18908.14,62.0,62.0,"<a href=""1072-Zipcode-MA-Economy-data.html"">1072</a>"
1073,0.0,Zipcode,55313.0,90318.0,38.2,3739.0,3739.0,3528.0,211.0,0.0,1349.0,27.846,0.759,0.051,0.126,0.061,0.004,0.152,5088.0,0.041,0.735,0.693,0.041,0.265,0.282,251.0,0.041,0.183,0.124,0.135,0.059,0.452,0.76,0.24,0.134,0.346,0.214,0.081,0.939,0.908,0.031,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.055,0.006,0.939,27.688,0.0,36081.266,336.0,41.0,"<a href=""1073-Zipcode-MA-Economy-data.html"">1073</a>"
1074,0.0,Zipcode,0.0,0.0,0.0,112.0,112.0,112.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.723,0.723,0.0,0.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.696,0.304,0.0,1.0,1.0,0.0,1.0,0.598,0.402,0.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,0.0,"<a href=""1074-Zipcode-MA-Economy-data.html"">1074</a>"
1075,0.0,Zipcode,47383.0,61821.0,32.8,9871.0,9818.0,9189.0,629.0,53.0,5650.0,27.781,0.706,0.045,0.157,0.081,0.011,0.106,15521.0,0.041,0.636,0.592,0.041,0.364,0.245,1524.0,0.099,0.248,0.048,0.157,0.102,0.434,0.607,0.393,0.174,0.523,0.216,0.171,0.809,0.758,0.051,0.041,0.001,0.009,0.016,0.013,0.002,0.0,0.0,0.001,0.001,0.119,0.009,0.046,0.12,0.817,20.707,0.0,33788.734,521.0,211.0,"<a href=""1075-Zipcode-MA-Economy-data.html"">1075</a>"
