Place,Distance,Type,Median earnings,Median household income,Avg Hours Worked,In labor force,Civilian labor force,Employed,Unemployed,Armed Forces,Not in labor force,Avg Hrly Earnings,Wages,Self Employment,Investments and Retirement,Social Security,Public Assistance and SSI,Self Employed,Total Working Age,Unemployment Rate,Labor Force Participation,Total Employed,Total Unemployed,Total Not in Labor Force,With Retirement Income,Total In Poverty,Percent of Population In Poverty,In Poverty-Employed,In Poverty-Unemployed,In Poverty-Not in Labor Force,Public Assistance Percent,Gini Index,Full Time Employment,Part Time Employment,Men Working Part Time,Women Working Part Time,Single Earner Families,Families with No One Working,"Car, truck or van",Drove alone,Carpooled,In 2-person carpool,In 3-person carpool,In 4-or-more-person carpool,Public transportation,Bus,Streetcar or trolley,Subway or elevated,Railroad,Ferryboat,Bicycle,Walked,"Taxicab, motorcycle or other",Worked at home,Bicycle or walk,Drive,Avg Commute Time,Work in city or place where live,Self Employment Income,Total Self-employed Men,Total Self-employed Women,Zip Code,"Less than $10,000","Earnings-$10,000 to $14,999","Earnings-$15,000 to $19,999","Earnings-$20,000 to $49,999","Earnings-$50,000 to $74,999","Earnings-$75,000 to $99,999","Earnings-$100,000 or more",Median earnings - Male,Median earnings - Female,Poverty Under 12 Years,Poverty 12 to 17 years,Poverty 18 to 34 years,Poverty 35 to 54 years,Poverty 55 to 64 years,Poverty 65+ years,White Poverty Rate,Black Poverty Rate,American Indian Poverty Rate,Asian Poverty Rate,Hawaiian Poverty Rate,Hispanic Poverty Rate,Male Poverty Rate,Female Poverty Rate,Married with children Poverty,Unmarried with children Poverty,Unmarried Female with children Poverty,Unmarried Male with children Poverty,Less Than Highschool in Poverty,Highschool Grad in Poverty,Some College in Poverty,College Grad in Poverty,Income <25,Income 25 to 44,Income 45 to 64,Income 65+,12am to 5am,5am to 530am,530 am to 6am,6am to 630am,630 am to 7am,7am to 730am,730 am to 8am,8am to 830am,830 am to 9am,9am to 10am,10am to 11am,11am to 12noon,12noon to 4pm,4pm to midnight,Less than 5 min,5 to 9 min,10 to 14 min,15 to 19 min,20 to 24 min,25 to 29 min,30 to 34 min,35 to 39 min,40 to 44 min,45 to 59 min,60 to 89 min,90 or more min,Avg Male Commute,Avg Female Commute,Earnings-Overall,"Earnings-Mgt, business, science, and arts","Earnings-Mgt, business, and financial","Earnings-Computer, engineering, and science","Earnings-Education, legal, community service, arts, media",Earnings-Healthcare practitioners and tech,Earnings-Service,Earnings-Protective service,Earnings-Sales and office,"Earnings-Natural resources, construction, maintenance","Earnings-Production, transportation, material moving","Male Earners-Mgt, business, science, and arts","Male Earners-Mgt, business, and financial","Male Earners-Computer, engineering, and science","Male Earners-Education, legal, community service, arts, media",Male Earners-Healthcare practitioners and tech,Male Earners-Service,Male Earners-Protective service,Male Earners-Sales and office,"Male Earners-Natural resources, construction, maintenance","Male Earners-Production, transportation, material moving","Female Earners-Mgt, business, science, and arts","Female Earners-Mgt, business, and financial","Female Earners-Computer, engineering, and science","Female Earners-Education, legal, community service, arts, media",Female Earners-Healthcare practitioners and tech,Female Earners-Service,Female Earners-Protective service,Female Earners-Sales and office,"Female Earners-Natural resources, construction, maintenance","Female Earners-Production, transportation, material moving",Private for-profit workers,Employee of private company,Self-employed in incorporated business,Private not-for-profit,Local government,State government,Federal government,Male-Private for-profit workers,Male-Employee of private company,Male-Self-employed in incorporated business,Male-Private not-for-profit,Male-Local government,Male-State government,Male-Federal government,Female-Private for-profit workers,Female-Employee of private company,Female-Self-employed in incorporated business,Female-Private not-for-profit,Female-Local government,Female-State government,Female-Federal government,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations","Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation, warehousing, and utilities",Information,"Finance, insurance, real estate, rental and leasing","Professional, scientific, management, administrative services","Educational services, health care and social assistance","Arts, entertainment, recreation, accommodation and food services",Public administration,Overall Family Income,White Family Income,Black Family Income,American Indian Family Income,Asian Family Income,Hawaiian Family Income,Hispanic Family Income
1346,0.0,Zipcode,52778.0,56500.0,38.1,248.0,248.0,245.0,3.0,0.0,139.0,26.639,0.648,0.1,0.153,0.094,0.005,0.17,387.0,0.008,0.641,0.633,0.008,0.359,0.289,49.0,0.106,0.184,0.0,0.082,0.108,0.439,0.743,0.257,0.139,0.373,0.368,0.14,0.908,0.82,0.088,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.067,0.0,0.933,32.22,0.0,46545.455,24.0,14.0,"<a href=""1346-Zipcode-MA-Economy-data.html"">1346</a>",0.16,0.09,0.082,0.266,0.223,0.07,0.109,52500.0,52857.0,0.245,0.041,0.184,0.204,0.122,0.204,0.11,0.0,0.0,0.0,0.0,0.25,0.105,0.107,0.058,0.833,1.0,0.0,0.3,0.066,0.09,0.062,0.0,53036.0,70000.0,36250.0,0.04,0.049,0.045,0.233,0.099,0.099,0.108,0.108,0.072,0.04,0.031,0.0,0.04,0.036,0.072,0.112,0.049,0.058,0.058,0.027,0.175,0.094,0.085,0.148,0.085,0.036,17.691,14.552,52778.0,79167.0,100625.0,0.0,0.0,84375.0,32083.0,0.0,40000.0,50625.0,37500.0,102188.0,125000.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,40833.0,71250.0,71250.0,0.0,0.0,165417.0,31250.0,0.0,38333.0,0.0,0.0,56875.0,57656.0,0.0,53214.0,0.0,0.0,0.0,57917.0,58333.0,0.0,0.0,0.0,0.0,0.0,48125.0,48125.0,0.0,53214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70000.0,62083.0,0.0,0.0,0.0,0.0,0.0
1347,0.0,Zipcode,31875.0,39211.0,41.0,83.0,83.0,83.0,0.0,0.0,23.0,14.951,1.0,0.0,0.0,0.0,0.0,0.109,106.0,0.0,0.783,0.783,0.0,0.217,0.109,22.0,0.165,0.273,0.0,0.455,0.188,0.283,0.855,0.145,0.0,0.24,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.41,0.0,0.0,8.0,0.0,"<a href=""1347-Zipcode-MA-Economy-data.html"">1347</a>",0.072,0.072,0.145,0.627,0.084,0.0,0.0,31875.0,31250.0,0.0,0.0,0.727,0.0,0.0,0.273,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.237,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,38021.0,56071.0,0.0,0.0,0.084,0.0,0.145,0.0,0.157,0.169,0.0,0.072,0.289,0.084,0.0,0.0,0.0,0.072,0.217,0.0,0.217,0.422,0.0,0.0,0.0,0.0,0.072,0.0,0.0,5.904,11.506,31875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30208.0,30208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41458.0,41458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41458.0,41458.0,0.0,0.0,0.0,0.0,0.0
1349,0.0,Zipcode,51759.0,60493.0,38.1,705.0,705.0,601.0,104.0,0.0,223.0,26.125,0.753,0.038,0.106,0.089,0.014,0.089,928.0,0.112,0.76,0.648,0.112,0.24,0.176,47.0,0.043,0.0,0.085,0.149,0.188,0.338,0.731,0.269,0.208,0.343,0.396,0.053,0.888,0.764,0.125,0.056,0.069,0.0,0.074,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.032,0.0,0.894,21.511,0.073,27705.263,61.0,2.0,"<a href=""1349-Zipcode-MA-Economy-data.html"">1349</a>",0.2,0.091,0.071,0.295,0.328,0.014,0.0,55603.0,39955.0,0.277,0.085,0.085,0.0,0.447,0.106,0.015,0.0,0.875,0.0,0.0,0.0,0.02,0.064,0.0,0.126,0.619,0.0,0.0,0.062,0.044,0.0,0.0,71250.0,62214.0,40865.0,0.0,0.019,0.024,0.082,0.159,0.175,0.231,0.183,0.015,0.056,0.019,0.0,0.017,0.021,0.009,0.067,0.172,0.147,0.317,0.134,0.078,0.006,0.03,0.006,0.006,0.028,12.435,9.076,51759.0,54531.0,42500.0,56212.0,0.0,51167.0,60603.0,0.0,38145.0,51875.0,29063.0,56364.0,54375.0,56098.0,0.0,0.0,61121.0,0.0,34052.0,51875.0,0.0,51333.0,41750.0,0.0,0.0,0.0,32857.0,0.0,39196.0,0.0,0.0,52361.0,55278.0,0.0,53750.0,0.0,0.0,0.0,56016.0,56719.0,0.0,0.0,0.0,0.0,0.0,39375.0,39375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61938.0,69583.0,0.0,0.0,0.0,0.0,0.0
1350,0.0,Zipcode,46250.0,31750.0,34.7,40.0,40.0,39.0,1.0,0.0,43.0,25.632,0.712,0.033,0.079,0.176,0.0,0.116,83.0,0.012,0.482,0.47,0.012,0.518,0.326,6.0,0.063,0.667,0.0,0.0,0.256,0.442,0.622,0.378,0.462,0.263,0.231,0.077,0.872,0.821,0.051,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.051,0.077,0.872,30.27,0.0,12820.0,4.0,0.0,"<a href=""1350-Zipcode-MA-Economy-data.html"">1350</a>",0.391,0.043,0.022,0.283,0.217,0.0,0.043,50000.0,46250.0,0.0,0.333,0.167,0.167,0.333,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.091,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.136,0.0,0.0,68750.0,30750.0,24000.0,0.054,0.054,0.108,0.0,0.243,0.135,0.081,0.162,0.0,0.0,0.0,0.0,0.027,0.135,0.054,0.135,0.081,0.189,0.027,0.162,0.0,0.027,0.0,0.135,0.135,0.054,11.892,18.378,46250.0,55000.0,0.0,64375.0,36667.0,0.0,0.0,0.0,0.0,0.0,0.0,63750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46250.0,0.0,0.0,36875.0,0.0,0.0,0.0,0.0,0.0,0.0,63125.0,63125.0,0.0,38125.0,0.0,0.0,0.0,48750.0,48750.0,0.0,0.0,0.0,0.0,0.0,63750.0,63750.0,0.0,37500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1351,0.0,Zipcode,62539.0,81833.0,40.1,1243.0,1243.0,1190.0,53.0,0.0,750.0,29.992,0.768,0.033,0.121,0.069,0.009,0.095,1993.0,0.027,0.624,0.597,0.027,0.376,0.258,190.0,0.082,0.053,0.105,0.221,0.092,0.393,0.819,0.181,0.101,0.263,0.197,0.229,0.879,0.846,0.033,0.033,0.0,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.05,0.013,0.051,0.05,0.892,22.245,0.0,31407.292,60.0,37.0,"<a href=""1351-Zipcode-MA-Economy-data.html"">1351</a>",0.114,0.06,0.04,0.239,0.292,0.154,0.102,71515.0,51530.0,0.095,0.232,0.111,0.216,0.153,0.195,0.084,1.0,0.0,0.0,0.0,0.0,0.057,0.103,0.0,0.363,0.422,0.175,0.0,0.125,0.065,0.019,0.0,96000.0,90156.0,53438.0,0.016,0.026,0.027,0.078,0.112,0.103,0.26,0.155,0.038,0.06,0.015,0.005,0.058,0.046,0.067,0.078,0.105,0.182,0.19,0.098,0.141,0.017,0.01,0.074,0.022,0.017,9.172,13.074,62539.0,71638.0,81458.0,80469.0,52778.0,70913.0,63750.0,92991.0,46336.0,49531.0,64258.0,81719.0,89432.0,81250.0,67031.0,0.0,93170.0,0.0,46293.0,49531.0,70139.0,59792.0,79712.0,56607.0,52107.0,0.0,51397.0,0.0,47535.0,0.0,0.0,52153.0,55179.0,0.0,52422.0,64700.0,82583.0,0.0,70707.0,71304.0,0.0,75417.0,70375.0,112279.0,0.0,50650.0,50650.0,0.0,50938.0,0.0,51471.0,0.0,0.421,0.0,0.0,0.579,0.0,0.0,0.579,0.0,0.0,0.0,0.0,0.0,0.0,0.421,0.0,0.0,0.0,100347.0,97417.0,0.0,0.0,0.0,0.0,0.0
1354,0.0,Zipcode,44712.0,74167.0,41.2,1101.0,1101.0,1053.0,48.0,0.0,381.0,20.87,0.664,0.088,0.164,0.08,0.004,0.198,1482.0,0.032,0.743,0.711,0.032,0.257,0.239,132.0,0.08,0.417,0.068,0.023,0.062,0.351,0.696,0.304,0.255,0.356,0.203,0.149,0.75,0.625,0.126,0.068,0.058,0.0,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.12,0.012,0.113,0.12,0.763,18.937,0.0,36318.261,67.0,64.0,"<a href=""1354-Zipcode-MA-Economy-data.html"">1354</a>",0.223,0.063,0.035,0.354,0.247,0.042,0.035,47981.0,39891.0,0.0,0.0,0.409,0.386,0.159,0.045,0.026,1.0,0.0,0.0,0.0,0.918,0.081,0.079,0.0,0.0,0.0,0.0,0.0,0.026,0.049,0.09,0.0,77083.0,77500.0,64583.0,0.049,0.023,0.062,0.074,0.062,0.121,0.24,0.07,0.078,0.041,0.026,0.05,0.069,0.034,0.04,0.227,0.178,0.229,0.064,0.069,0.069,0.026,0.03,0.031,0.024,0.014,9.721,9.216,44712.0,47344.0,54167.0,55938.0,45673.0,75227.0,32000.0,51250.0,37500.0,47500.0,43250.0,55104.0,73393.0,65833.0,46202.0,0.0,40938.0,51250.0,61250.0,47500.0,42875.0,42298.0,42500.0,0.0,42009.0,75568.0,29375.0,0.0,35313.0,0.0,48750.0,42306.0,43269.0,33828.0,46202.0,45500.0,54688.0,0.0,51818.0,51932.0,0.0,45815.0,79167.0,55938.0,0.0,35469.0,40039.0,33654.0,47700.0,40000.0,54219.0,0.0,0.781,0.0,0.219,0.0,0.0,0.0,0.562,0.0,0.125,0.0,0.0,0.0,0.0,0.094,0.0,0.094,0.0,84722.0,84722.0,0.0,0.0,0.0,0.0,0.0
1355,0.0,Zipcode,52303.0,68681.0,36.9,507.0,507.0,476.0,31.0,0.0,256.0,27.258,0.706,0.08,0.138,0.073,0.002,0.234,763.0,0.041,0.664,0.624,0.041,0.336,0.244,56.0,0.061,0.232,0.286,0.179,0.05,0.381,0.73,0.27,0.218,0.323,0.255,0.135,0.893,0.787,0.107,0.107,0.0,0.0,0.015,0.0,0.0,0.0,0.015,0.0,0.0,0.028,0.007,0.057,0.028,0.9,32.385,0.0,28096.774,46.0,26.0,"<a href=""1355-Zipcode-MA-Economy-data.html"">1355</a>",0.153,0.051,0.046,0.312,0.279,0.11,0.048,65000.0,42125.0,0.0,0.036,0.464,0.179,0.054,0.268,0.062,0.0,0.0,0.0,0.0,0.0,0.048,0.077,0.0,0.029,0.0,0.047,0.0,0.016,0.137,0.055,0.0,69722.0,81667.0,57917.0,0.058,0.065,0.041,0.113,0.06,0.166,0.111,0.127,0.115,0.058,0.007,0.007,0.009,0.065,0.044,0.058,0.088,0.076,0.189,0.071,0.159,0.028,0.055,0.101,0.085,0.046,18.445,13.94,52303.0,69306.0,59583.0,70625.0,53750.0,77917.0,40938.0,0.0,36667.0,50208.0,46750.0,76000.0,76375.0,70625.0,64375.0,0.0,45000.0,0.0,41806.0,50208.0,56250.0,51964.0,45625.0,0.0,52500.0,73750.0,34107.0,0.0,34306.0,0.0,30833.0,55673.0,55500.0,0.0,58182.0,60000.0,51042.0,0.0,69145.0,69342.0,0.0,39750.0,46875.0,54375.0,0.0,28750.0,28750.0,0.0,58295.0,63333.0,34327.0,0.0,0.429,0.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.0,79688.0,79375.0,0.0,0.0,0.0,0.0,0.0
1360,0.0,Zipcode,55938.0,63963.0,36.7,1710.0,1710.0,1586.0,124.0,0.0,767.0,29.311,0.764,0.023,0.128,0.067,0.018,0.089,2477.0,0.05,0.69,0.64,0.05,0.31,0.193,127.0,0.043,0.15,0.0,0.26,0.106,0.372,0.707,0.293,0.212,0.38,0.229,0.122,0.949,0.771,0.178,0.164,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.014,0.029,0.008,0.963,29.276,0.086,20120.536,72.0,18.0,"<a href=""1360-Zipcode-MA-Economy-data.html"">1360</a>",0.16,0.059,0.057,0.289,0.32,0.051,0.063,60313.0,48555.0,0.079,0.0,0.008,0.268,0.433,0.213,0.043,0.667,0.0,0.0,0.0,0.0,0.041,0.044,0.0,0.068,0.0,0.125,0.298,0.044,0.056,0.013,0.0,80583.0,66607.0,47386.0,0.012,0.031,0.053,0.136,0.096,0.187,0.128,0.102,0.061,0.041,0.033,0.007,0.055,0.057,0.04,0.083,0.115,0.096,0.169,0.101,0.094,0.075,0.047,0.084,0.055,0.042,16.285,12.991,55938.0,64300.0,64950.0,75714.0,49167.0,52031.0,22813.0,0.0,52344.0,52750.0,36953.0,65815.0,64200.0,77833.0,52500.0,0.0,0.0,0.0,61471.0,52750.0,36250.0,57679.0,72542.0,73750.0,49167.0,50625.0,20909.0,0.0,37917.0,0.0,0.0,53542.0,52000.0,0.0,60652.0,65781.0,58214.0,0.0,60605.0,59167.0,0.0,60917.0,0.0,59911.0,0.0,34741.0,34741.0,0.0,60156.0,65833.0,49583.0,0.0,0.37,0.0,0.0,0.63,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,86447.0,86754.0,0.0,0.0,0.0,0.0,0.0
1364,0.0,Zipcode,45053.0,37911.0,37.1,3749.0,3749.0,3340.0,409.0,0.0,2645.0,23.353,0.7,0.064,0.088,0.125,0.023,0.131,6394.0,0.064,0.586,0.522,0.064,0.414,0.173,1049.0,0.135,0.1,0.067,0.156,0.261,0.425,0.706,0.294,0.2,0.395,0.294,0.144,0.865,0.755,0.11,0.102,0.009,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.004,0.039,0.005,0.077,0.043,0.87,23.084,0.212,25140.46,267.0,135.0,"<a href=""1364-Zipcode-MA-Economy-data.html"">1364</a>",0.19,0.103,0.059,0.324,0.251,0.044,0.028,48468.0,37197.0,0.087,0.145,0.169,0.338,0.103,0.158,0.136,0.294,0.533,0.0,0.0,0.128,0.132,0.138,0.061,0.374,0.275,0.5,0.19,0.17,0.106,0.044,0.0,52365.0,49063.0,25718.0,0.054,0.016,0.098,0.097,0.129,0.096,0.154,0.115,0.037,0.021,0.013,0.011,0.089,0.07,0.074,0.224,0.164,0.076,0.07,0.016,0.124,0.025,0.086,0.061,0.067,0.013,12.273,10.811,45053.0,54256.0,37019.0,65625.0,52019.0,57250.0,28266.0,51250.0,42969.0,50196.0,40119.0,59440.0,59844.0,66250.0,51346.0,0.0,47404.0,51250.0,46058.0,50196.0,42202.0,53586.0,34196.0,0.0,53125.0,54911.0,23720.0,0.0,40250.0,0.0,32981.0,40702.0,41284.0,9659.0,52993.0,50556.0,51442.0,51364.0,44250.0,44179.0,0.0,52404.0,58203.0,51378.0,60833.0,33352.0,34375.0,9545.0,53026.0,44861.0,77500.0,0.0,0.657,0.343,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.104,0.194,0.0,0.0,0.433,0.104,0.134,0.0,56368.0,56627.0,0.0,0.0,0.0,0.0,0.0
1366,0.0,Zipcode,50568.0,65774.0,36.9,646.0,646.0,608.0,38.0,0.0,425.0,26.354,0.641,0.1,0.172,0.085,0.003,0.198,1071.0,0.035,0.603,0.568,0.035,0.397,0.258,55.0,0.047,0.473,0.0,0.109,0.094,0.405,0.684,0.316,0.165,0.468,0.202,0.252,0.871,0.759,0.112,0.058,0.003,0.051,0.003,0.0,0.0,0.0,0.003,0.0,0.0,0.034,0.0,0.092,0.034,0.871,36.376,0.209,42823.158,61.0,27.0,"<a href=""1366-Zipcode-MA-Economy-data.html"">1366</a>",0.15,0.088,0.053,0.315,0.22,0.061,0.114,50208.0,51000.0,0.073,0.055,0.291,0.291,0.055,0.236,0.031,0.375,0.0,0.0,0.0,0.0,0.045,0.048,0.0,0.082,0.0,0.211,0.0,0.072,0.048,0.0,0.0,91667.0,76458.0,49375.0,0.051,0.037,0.034,0.081,0.112,0.118,0.157,0.109,0.037,0.052,0.006,0.011,0.118,0.077,0.032,0.081,0.086,0.086,0.131,0.054,0.131,0.034,0.006,0.178,0.077,0.105,20.056,16.311,50568.0,72578.0,74038.0,105000.0,62500.0,0.0,42917.0,0.0,47292.0,41042.0,37375.0,74886.0,73636.0,104500.0,63250.0,0.0,36875.0,0.0,73750.0,41042.0,37375.0,61818.0,75833.0,0.0,61250.0,0.0,0.0,0.0,45833.0,0.0,0.0,61250.0,60875.0,101250.0,62500.0,51250.0,36875.0,0.0,61250.0,61250.0,0.0,63500.0,37321.0,41250.0,0.0,61250.0,60313.0,0.0,61250.0,67813.0,32031.0,0.0,0.529,0.118,0.176,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.824,0.0,0.0,0.0,78750.0,78750.0,0.0,0.0,0.0,0.0,0.0
1367,0.0,Zipcode,47031.0,50357.0,33.8,311.0,311.0,304.0,7.0,0.0,190.0,26.759,0.609,0.069,0.192,0.118,0.013,0.244,501.0,0.014,0.621,0.607,0.014,0.379,0.248,151.0,0.227,0.252,0.0,0.106,0.188,0.456,0.583,0.417,0.418,0.416,0.311,0.245,0.827,0.734,0.093,0.083,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.052,0.007,0.093,0.073,0.834,32.137,0.0,18501.639,43.0,24.0,"<a href=""1367-Zipcode-MA-Economy-data.html"">1367</a>",0.283,0.105,0.063,0.259,0.22,0.054,0.015,51406.0,37500.0,0.311,0.252,0.212,0.159,0.053,0.013,0.225,0.0,0.0,0.0,0.0,0.462,0.186,0.273,0.131,0.78,0.625,0.88,0.392,0.142,0.102,0.0,0.0,0.0,56500.0,47500.0,0.031,0.042,0.042,0.065,0.069,0.137,0.187,0.126,0.061,0.057,0.015,0.011,0.08,0.076,0.065,0.118,0.115,0.088,0.069,0.0,0.13,0.046,0.057,0.214,0.065,0.034,21.24,10.897,47031.0,49643.0,48214.0,93750.0,52813.0,0.0,35833.0,0.0,50469.0,36250.0,47500.0,54583.0,53125.0,93750.0,54688.0,0.0,19167.0,0.0,51875.0,41250.0,60833.0,46667.0,47083.0,0.0,38750.0,0.0,36250.0,0.0,41250.0,0.0,0.0,50694.0,50694.0,0.0,32083.0,45625.0,80417.0,0.0,54063.0,54063.0,0.0,35833.0,51250.0,0.0,0.0,37143.0,37143.0,0.0,23125.0,45625.0,0.0,0.0,0.692,0.0,0.154,0.154,0.0,0.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60208.0,60208.0,0.0,0.0,0.0,0.0,0.0
1368,0.0,Zipcode,50625.0,67333.0,36.2,766.0,766.0,707.0,59.0,0.0,377.0,26.894,0.722,0.066,0.112,0.084,0.015,0.158,1143.0,0.052,0.67,0.619,0.052,0.33,0.191,138.0,0.104,0.297,0.065,0.116,0.137,0.334,0.683,0.317,0.126,0.504,0.245,0.15,0.932,0.861,0.071,0.052,0.006,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.006,0.05,0.012,0.938,33.067,0.0,30855.556,50.0,27.0,"<a href=""1368-Zipcode-MA-Economy-data.html"">1368</a>",0.195,0.077,0.05,0.31,0.263,0.081,0.024,52386.0,40000.0,0.138,0.058,0.319,0.159,0.275,0.051,0.105,0.0,0.0,0.0,0.0,1.0,0.074,0.132,0.118,0.077,0.16,0.0,0.113,0.107,0.097,0.0,0.0,76563.0,80417.0,49688.0,0.067,0.071,0.076,0.081,0.183,0.11,0.126,0.067,0.031,0.092,0.003,0.033,0.04,0.02,0.016,0.045,0.075,0.134,0.092,0.11,0.175,0.039,0.022,0.123,0.124,0.047,17.174,15.893,50625.0,65917.0,66667.0,0.0,66458.0,60000.0,50556.0,67813.0,38472.0,43750.0,50972.0,65417.0,61250.0,0.0,66250.0,0.0,66172.0,67813.0,39297.0,43750.0,51806.0,66042.0,68333.0,0.0,66667.0,60000.0,35417.0,0.0,31938.0,0.0,0.0,45341.0,42419.0,0.0,35972.0,65595.0,56000.0,0.0,51111.0,47386.0,0.0,48125.0,65667.0,65625.0,0.0,33750.0,33750.0,0.0,35833.0,65417.0,48750.0,0.0,0.0,0.0,0.0,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,77625.0,77750.0,0.0,0.0,0.0,0.0,0.0
1370,0.0,Zipcode,51033.0,54803.0,36.0,2189.0,2189.0,2049.0,140.0,0.0,1182.0,27.261,0.545,0.068,0.285,0.095,0.009,0.211,3371.0,0.042,0.649,0.608,0.042,0.351,0.233,378.0,0.098,0.151,0.148,0.22,0.139,0.498,0.661,0.339,0.237,0.426,0.21,0.209,0.88,0.794,0.086,0.073,0.011,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.046,0.009,0.063,0.048,0.89,25.522,0.279,25127.249,185.0,157.0,"<a href=""1370-Zipcode-MA-Economy-data.html"">1370</a>",0.207,0.068,0.069,0.288,0.26,0.055,0.053,50516.0,51853.0,0.143,0.056,0.212,0.389,0.153,0.048,0.081,0.273,0.0,0.616,0.0,0.0,0.117,0.082,0.055,0.258,0.298,0.197,0.342,0.08,0.09,0.028,0.0,48527.0,69527.0,42143.0,0.023,0.034,0.055,0.073,0.09,0.12,0.136,0.159,0.054,0.061,0.04,0.03,0.09,0.034,0.082,0.092,0.109,0.122,0.123,0.067,0.141,0.025,0.064,0.097,0.066,0.012,11.299,14.223,51033.0,61018.0,61667.0,66397.0,58875.0,61792.0,31167.0,49375.0,47188.0,41806.0,41000.0,65089.0,71136.0,65313.0,49524.0,0.0,36250.0,49375.0,60536.0,41806.0,43462.0,60664.0,55000.0,66731.0,60363.0,61375.0,30600.0,0.0,31875.0,0.0,35000.0,50293.0,50000.0,90250.0,61307.0,47500.0,65083.0,67917.0,51029.0,50846.0,91250.0,70221.0,47500.0,66583.0,52321.0,48750.0,48309.0,66500.0,61136.0,48750.0,58500.0,0.0,0.897,0.103,0.0,0.0,0.0,0.103,0.0,0.128,0.0,0.0,0.0,0.0,0.128,0.513,0.128,0.0,0.0,77941.0,78500.0,0.0,0.0,0.0,0.0,0.0
